INDEX,INDICATOR
7.2,NO
7.6,YES
0.4,NO
7.9,YES
0.9,YES
0.7,NO
4.4,NO
5.7,NO
2.0,NO
0.1,NO
6.3,YES
2.6,NO
4.0,NO
6.1,NO
0.7,NO
5.5,NO
2.1,NO
6.6,YES
5.1,NO
2.7,NO
2.9,NO
0.5,NO
3.1,NO
5.3,NO
5.5,NO
2.5,NO
3.8,NO
5.4,NO
2.2,NO
7.3,YES
2.8,NO
5.5,YES
7.5,YES
4.2,YES
3.2,NO
0.4,NO
4.2,NO
6.8,YES
1.3,NO
3.8,NO
0.8,NO
0.7,NO
3.8,NO
1.2,NO
6.9,YES
1.6,NO
3.0,NO
7.7,YES
7.7,YES
6.8,YES
2.8,NO
0.4,YES
2.9,NO
5.6,NO
3.6,NO
5.7,NO
4.6,NO
3.2,NO
5.2,NO
4.6,NO
7.4,YES
2.8,NO
3.8,NO
0.4,YES
4.7,NO
0.1,NO
0.2,NO
4.2,NO
1.3,NO
4.1,YES
0.9,NO
0.3,NO
5.5,NO
6.8,YES
0.4,YES
4.0,NO
6.9,YES
4.8,NO
3.1,NO
3.9,NO
1.0,NO
3.5,YES
7.9,YES
2.1,NO
1.4,YES
5.8,NO
4.7,NO
3.0,NO
3.3,NO
3.8,NO
7.8,YES
1.0,NO
0.9,NO
4.6,NO
6.5,YES
6.2,YES
2.4,NO
2.1,NO
5.4,NO
4.6,NO
6.3,YES
2.0,NO
4.9,YES
0.2,NO
2.9,NO
4.3,NO
5.2,NO
6.5,YES
1.7,NO
5.5,NO
2.6,NO
5.2,NO
6.9,YES
3.7,NO
0.9,NO
3.0,NO
1.6,NO
0.2,YES
2.2,YES
2.9,YES
5.8,NO
3.0,NO
3.3,NO
7.4,YES
2.9,NO
0.9,YES
6.4,YES
2.5,NO
3.2,NO
4.2,NO
7.7,YES
4.7,NO
3.8,NO
5.2,NO
2.9,YES
0.9,NO
5.8,NO
7.0,YES
4.8,NO
7.4,NO
7.4,YES
6.5,YES
3.1,NO
1.6,NO
5.6,NO
1.5,NO
1.2,NO
4.0,NO
4.6,NO
3.5,NO
6.2,YES
0.7,YES
7.3,YES
5.0,NO
5.2,NO
4.8,NO
5.2,NO
2.0,YES
5.6,NO
6.1,YES
2.6,NO
6.4,YES
6.5,YES
6.2,YES
5.3,NO
2.3,NO
5.7,NO
7.7,YES
3.7,NO
4.4,NO
1.0,NO
0.8,YES
1.1,NO
4.6,NO
3.2,NO
4.7,YES
1.1,NO
2.2,NO
3.2,NO
6.3,YES
0.7,NO
4.0,NO
2.6,NO
7.5,YES
3.2,YES
3.7,YES
7.7,NO
0.0,NO
4.3,NO
5.8,NO
0.5,NO
3.3,NO
4.6,NO
5.3,NO
3.1,NO
7.3,YES
0.6,NO
4.0,NO
1.7,NO
2.1,NO
4.1,NO
0.5,YES
7.8,YES
5.2,NO
8.0,YES
6.2,YES
3.0,NO
0.3,NO
4.4,NO
4.6,NO
2.0,NO
5.8,NO
0.5,YES
2.5,NO
6.0,YES
0.7,NO
1.9,NO
4.2,NO
0.8,YES
7.9,YES
3.8,NO
4.3,NO
0.4,NO
3.7,NO
0.8,NO
0.4,NO
7.1,YES
4.4,NO
1.2,NO
4.1,YES
1.4,NO
1.6,NO
0.3,NO
4.5,NO
4.7,NO
4.9,NO
7.4,YES
7.1,YES
5.7,NO
3.9,NO
5.0,NO
3.8,NO
3.3,NO
0.2,NO
6.0,NO
1.3,NO
2.7,NO
7.3,YES
6.3,YES
3.8,NO
2.4,NO
1.7,NO
0.4,NO
3.4,YES
6.1,NO
0.6,YES
0.6,NO
3.8,NO
7.7,YES
2.9,NO
1.5,YES
3.6,NO
4.7,NO
2.0,NO
2.7,NO
4.7,NO
6.0,NO
5.3,NO
2.3,NO
5.2,YES
1.7,NO
3.9,NO
3.3,NO
1.5,NO
7.8,YES
7.3,YES
5.6,NO
2.4,NO
5.9,NO
1.4,NO
7.3,YES
7.0,YES
7.6,YES
2.1,NO
3.9,NO
3.8,NO
0.6,NO
4.3,NO
1.2,YES
0.7,NO
6.6,YES
6.0,NO
6.3,YES
0.1,NO
4.1,YES
2.9,NO
3.2,NO
3.2,YES
2.9,NO
3.1,NO
2.6,YES
5.9,NO
0.5,YES
6.6,NO
0.4,NO
3.1,NO
2.0,NO
6.3,YES
1.7,NO
7.1,YES
6.3,NO
1.7,NO
1.4,NO
6.9,YES
3.8,NO
3.8,NO
5.7,NO
6.7,YES
1.8,NO
2.8,NO
0.7,NO
2.3,NO
3.2,YES
1.9,NO
6.3,YES
3.8,NO
6.0,NO
5.7,NO
4.3,NO
1.4,NO
0.3,NO
6.2,YES
5.2,NO
1.3,NO
2.9,NO
0.9,YES
6.9,YES
4.2,NO
5.6,NO
3.5,NO
5.1,NO
5.8,YES
7.0,YES
7.5,NO
2.8,NO
7.0,NO
4.4,NO
2.3,NO
6.8,YES
3.1,NO
5.2,NO
6.6,YES
4.2,NO
5.9,NO
3.6,NO
3.6,NO
7.7,YES
4.2,NO
4.2,NO
4.0,YES
2.3,YES
6.4,YES
7.5,YES
7.8,YES
6.6,NO
6.3,NO
2.9,NO
7.2,YES
3.2,NO
2.3,NO
6.6,YES
1.9,NO
2.3,YES
1.3,NO
6.8,YES
7.4,YES
6.2,YES
2.8,NO
2.5,NO
4.8,NO
7.2,NO
7.5,YES
4.4,NO
3.3,YES
0.3,YES
5.7,NO
4.9,YES
7.9,NO
7.6,NO
4.6,NO
1.0,NO
6.1,NO
5.6,NO
3.1,YES
7.2,YES
3.4,NO
0.9,NO
0.2,NO
7.9,NO
6.2,NO
3.1,NO
0.2,NO
7.8,YES
1.9,YES
2.6,NO
0.5,NO
2.2,YES
4.2,NO
6.6,YES
1.6,NO
6.3,NO
5.3,NO
1.2,YES
5.3,YES
3.7,NO
4.2,NO
6.4,YES
1.5,NO
3.0,YES
6.1,NO
7.5,YES
5.4,NO
0.7,NO
7.9,YES
6.5,NO
7.4,NO
4.7,NO
6.3,YES
2.7,NO
0.4,NO
4.2,NO
1.9,NO
6.9,YES
4.9,NO
7.4,YES
4.6,NO
7.4,YES
7.0,YES
3.3,NO
6.5,YES
5.4,NO
8.0,YES
1.9,NO
5.6,NO
3.9,NO
4.2,NO
1.3,NO
3.8,YES
1.3,NO
1.3,NO
3.0,NO
7.1,NO
0.1,NO
1.9,NO
2.1,NO
1.8,NO
1.2,NO
6.7,YES
5.9,NO
1.0,YES
3.4,NO
4.8,NO
3.2,NO
5.6,NO
7.5,YES
1.4,YES
5.9,NO
2.5,NO
4.9,YES
3.6,NO
4.2,YES
2.5,NO
5.3,NO
1.7,NO
1.9,NO
5.5,NO
6.4,YES
5.6,NO
5.7,NO
0.1,NO
7.6,YES
1.6,NO
5.0,NO
3.7,NO
5.1,NO
6.4,YES
4.8,YES
0.6,NO
5.1,NO
1.4,NO
1.2,NO
6.3,NO
5.4,NO
0.2,YES
0.6,NO
4.8,NO
1.4,NO
1.6,YES
1.2,YES
2.2,NO
6.0,NO
1.9,NO
6.4,YES
3.2,NO
1.5,NO
3.6,NO
4.3,NO
3.6,NO
6.1,NO
6.1,NO
0.7,NO
4.9,NO
1.3,NO
3.4,YES
6.6,YES
3.7,NO
7.6,NO
0.7,NO
1.7,NO
5.3,NO
0.5,NO
6.6,YES
7.1,YES
5.2,NO
7.3,NO
6.0,NO
4.1,NO
2.6,NO
3.9,NO
5.5,NO
6.7,YES
6.2,YES
2.7,NO
1.9,NO
7.6,NO
3.7,NO
1.8,NO
4.5,NO
6.7,YES
0.8,NO
7.6,YES
4.0,NO
0.4,NO
7.0,YES
1.0,NO
5.0,NO
5.9,YES
2.9,NO
7.0,YES
7.9,YES
2.4,NO
3.0,NO
7.1,YES
6.8,YES
3.8,NO
1.9,NO
5.7,NO
5.7,NO
2.2,NO
7.4,YES
2.9,NO
4.9,NO
0.7,NO
4.9,NO
5.4,NO
7.4,YES
0.2,NO
6.6,YES
2.2,YES
2.3,NO
3.0,NO
4.7,NO
4.0,NO
6.6,NO
4.9,NO
6.3,YES
4.5,NO
4.1,YES
7.3,NO
2.5,NO
6.5,YES
5.6,NO
6.9,NO
3.6,NO
5.5,NO
1.8,YES
2.6,NO
3.1,NO
3.7,NO
6.7,YES
4.6,NO
0.1,NO
6.3,NO
0.1,NO
5.3,NO
5.2,NO
1.6,NO
0.4,NO
2.2,NO
4.7,NO
3.7,NO
1.2,NO
6.4,YES
6.4,YES
4.6,NO
2.9,NO
7.0,YES
7.0,NO
3.4,YES
3.6,NO
1.7,NO
3.7,NO
1.2,NO
4.4,NO
6.1,NO
7.2,YES
1.5,NO
2.4,NO
2.5,NO
3.2,NO
1.1,NO
0.1,NO
5.8,NO
5.7,NO
2.5,NO
7.7,NO
0.9,NO
4.3,NO
7.4,YES
7.6,YES
7.8,YES
6.8,YES
6.9,YES
4.1,NO
0.3,NO
1.7,NO
6.8,YES
5.1,NO
4.5,NO
1.0,NO
7.1,YES
0.4,NO
3.1,NO
0.7,NO
6.8,NO
2.6,NO
7.2,YES
6.4,YES
4.7,NO
7.5,YES
3.2,NO
4.7,NO
2.4,YES
5.5,NO
2.4,YES
5.2,NO
7.2,YES
2.9,NO
7.7,YES
7.7,NO
2.7,NO
3.9,NO
4.1,NO
6.5,YES
5.3,NO
7.2,NO
2.9,NO
3.0,NO
0.6,NO
2.6,NO
2.1,NO
1.1,NO
1.3,NO
7.6,YES
2.5,NO
2.7,NO
1.7,NO
4.4,NO
1.6,NO
4.4,YES
0.2,NO
5.3,NO
0.4,NO
3.7,NO
4.2,NO
5.0,NO
0.2,NO
2.5,NO
6.3,NO
3.5,NO
2.7,NO
1.3,NO
3.7,NO
7.7,YES
6.6,YES
6.4,YES
7.6,YES
0.2,NO
4.0,NO
6.6,NO
2.1,NO
0.3,YES
3.1,NO
1.7,NO
7.0,YES
6.6,YES
0.1,NO
3.7,NO
1.6,NO
2.1,NO
7.8,YES
2.1,NO
3.5,NO
3.1,YES
3.7,NO
5.5,YES
5.4,NO
0.0,YES
3.8,NO
7.6,YES
4.5,YES
3.9,NO
1.6,NO
2.5,NO
2.1,NO
5.1,NO
0.2,NO
5.5,YES
0.9,NO
2.8,NO
0.8,NO
0.7,NO
7.5,NO
7.7,YES
1.4,NO
2.5,YES
3.5,NO
7.7,YES
7.2,YES
0.7,NO
3.7,NO
3.7,NO
0.4,YES
1.5,YES
5.2,NO
4.6,NO
3.3,NO
5.4,NO
4.2,NO
3.0,NO
6.8,YES
1.5,NO
5.3,NO
7.0,YES
0.6,NO
2.5,NO
5.9,NO
2.0,YES
0.5,NO
4.1,NO
6.1,YES
2.3,NO
4.7,NO
5.3,NO
3.7,NO
2.9,NO
1.3,NO
7.1,NO
4.0,NO
0.1,YES
0.3,NO
4.1,NO
6.8,NO
5.9,NO
3.0,NO
3.4,NO
8.0,YES
3.3,NO
2.8,NO
4.9,NO
3.7,NO
5.7,NO
5.3,NO
0.4,YES
1.1,YES
4.7,NO
3.0,NO
5.6,NO
5.3,NO
2.3,YES
7.4,NO
0.1,NO
4.1,NO
6.2,YES
6.0,NO
0.7,YES
4.4,NO
4.8,NO
4.0,YES
2.8,NO
7.1,YES
0.1,NO
0.9,NO
7.1,YES
6.6,NO
4.3,NO
5.9,NO
4.8,NO
7.1,YES
0.1,NO
6.8,YES
1.9,NO
1.0,NO
4.3,NO
1.3,NO
8.0,YES
6.0,NO
6.6,YES
2.7,NO
5.1,NO
5.4,YES
3.0,NO
6.1,YES
3.2,NO
3.0,NO
0.2,YES
7.2,NO
1.9,NO
6.1,NO
7.0,NO
5.0,NO
0.8,YES
7.0,YES
7.0,NO
5.4,NO
1.6,NO
3.8,NO
4.2,YES
7.4,YES
3.7,NO
8.0,YES
3.6,NO
7.6,YES
6.7,YES
0.7,NO
0.8,NO
4.4,NO
4.8,NO
0.5,YES
7.1,YES
2.5,NO
3.0,NO
6.0,NO
4.7,NO
7.4,YES
5.8,NO
6.6,YES
2.7,NO
1.9,NO
7.9,YES
5.1,NO
6.3,NO
7.4,YES
1.1,YES
1.5,NO
2.5,NO
4.6,YES
6.6,YES
0.3,NO
7.6,YES
5.3,NO
3.0,YES
2.7,NO
3.9,NO
5.5,NO
3.5,NO
1.5,NO
2.4,NO
6.1,NO
7.6,YES
6.1,NO
6.7,YES
0.0,NO
1.3,NO
1.3,NO
3.9,NO
1.5,NO
7.7,YES
5.8,NO
5.2,NO
2.6,NO
2.6,NO
5.0,NO
7.5,YES
7.6,YES
1.1,YES
6.9,YES
5.5,YES
3.0,NO
0.2,YES
0.6,YES
4.6,NO
7.3,YES
7.6,YES
5.0,NO
2.8,NO
7.1,YES
4.4,NO
0.7,NO
5.4,NO
5.9,NO
4.7,YES
4.7,NO
7.8,YES
3.8,NO
3.6,YES
7.1,NO
3.6,NO
2.8,NO
7.4,YES
2.0,YES
0.4,NO
4.0,NO
6.5,YES
3.5,NO
6.6,YES
2.3,NO
6.5,NO
4.8,NO
6.4,YES
6.5,YES
6.0,NO
6.7,YES
6.7,YES
0.5,YES
6.5,YES
3.2,NO
4.0,YES
1.7,YES
1.7,NO
2.2,NO
2.9,NO
2.1,NO
5.2,NO
3.8,NO
3.9,NO
6.7,YES
1.3,NO
5.2,YES
4.2,NO
0.3,NO
7.4,NO
2.2,NO
0.6,NO
6.3,YES
2.4,NO
5.9,NO
6.9,NO
1.4,YES
4.0,NO
6.5,YES
2.0,NO
4.3,NO
3.7,YES
6.3,YES
4.2,YES
5.7,NO
5.9,NO
2.7,NO
4.3,YES
0.9,NO
3.9,NO
3.3,NO
4.5,NO
6.3,YES
2.5,NO
1.7,YES
4.0,NO
0.8,NO
3.6,NO
4.3,YES
3.9,YES
0.5,NO
4.0,NO
5.1,NO
6.5,YES
4.7,NO
6.1,YES
3.3,NO
2.0,NO
3.5,NO
2.7,YES
5.2,NO
0.3,NO
3.2,YES
0.2,NO
7.9,YES
7.9,YES
0.7,NO
5.0,NO
4.7,NO
1.6,NO
1.3,YES
5.4,NO
0.9,NO
3.1,NO
4.9,NO
7.5,NO
4.6,NO
1.6,NO
1.3,NO
5.8,NO
4.1,NO
5.9,NO
4.6,NO
6.1,NO
7.6,YES
2.8,NO
1.8,NO
4.0,NO
7.0,YES
3.9,NO
6.5,YES
5.3,NO
5.7,NO
1.4,NO
2.0,NO
7.3,YES
7.0,YES
3.0,NO
7.1,YES
4.1,NO
6.3,YES
5.7,NO
7.0,YES
0.9,NO
7.7,YES
6.1,NO
7.7,YES
3.2,NO
4.4,NO
7.6,YES
0.1,NO
1.9,NO
2.4,NO
5.5,NO
2.0,YES
3.9,YES
6.2,YES
6.4,YES
5.5,NO
1.7,NO
7.6,YES
7.0,YES
0.3,NO
4.4,NO
0.5,NO
7.6,YES
1.8,NO
5.4,NO
3.8,NO
6.7,YES
1.7,NO
2.6,NO
1.5,YES
7.3,NO
3.2,NO
5.9,NO
2.8,NO
3.3,NO
2.8,NO
0.6,NO
3.0,NO
4.5,NO
2.3,NO
6.8,YES
1.8,NO
6.5,YES
5.2,NO
0.3,NO
5.0,NO
6.5,YES
4.8,NO
2.9,NO
3.6,NO
0.8,NO
5.5,NO
3.9,NO
0.4,NO
6.3,YES
6.3,NO
4.0,NO
5.4,NO
3.5,NO
4.9,NO
1.5,YES
0.2,NO
5.0,NO
7.4,YES
4.2,NO
6.9,YES
1.9,NO
3.4,NO
5.3,NO
5.0,NO
3.2,NO
4.7,NO
7.8,YES
7.2,YES
4.3,NO
3.2,NO
0.6,NO
2.2,NO
3.8,NO
4.5,NO
5.0,NO
4.0,YES
0.2,NO
2.1,NO
6.8,YES
1.0,NO
3.3,NO
6.4,YES
0.5,NO
2.1,NO
7.4,YES
3.5,NO
0.5,NO
5.4,NO
7.4,YES
4.4,NO
2.3,NO
1.2,NO
6.2,YES
1.5,YES
2.1,NO
5.0,NO
3.2,YES
6.7,YES
6.1,NO
7.5,YES
7.0,YES
5.8,NO
1.6,NO
3.6,NO
5.2,NO
3.2,NO
1.2,YES
6.6,YES
5.6,NO
6.5,YES
4.3,YES
6.8,NO
1.3,NO
7.2,NO
6.7,NO
1.4,YES
4.7,NO
5.0,NO
6.6,YES
7.2,NO
6.1,YES
3.9,NO
6.1,NO
4.3,NO
6.9,YES
1.1,YES
7.6,YES
7.0,YES
2.0,NO
7.8,YES
0.6,NO
6.0,NO
3.9,YES
1.0,NO
2.6,NO
2.3,NO
3.3,NO
5.4,NO
4.4,NO
3.8,NO
1.3,NO
6.8,YES
7.5,NO
4.9,NO
4.9,NO
7.5,YES
6.0,NO
7.3,YES
4.4,YES
3.2,NO
4.9,NO
6.3,NO
7.4,NO
5.5,NO
5.0,NO
0.2,NO
3.4,NO
0.0,NO
2.0,NO
5.9,NO
6.9,YES
5.1,NO
7.5,YES
2.0,NO
1.7,NO
3.0,NO
1.7,NO
7.4,NO
0.6,NO
7.2,YES
6.1,NO
0.2,NO
1.4,NO
6.7,YES
0.6,YES
5.0,NO
5.1,NO
5.3,YES
6.4,NO
6.8,YES
7.0,YES
5.7,NO
5.7,NO
4.1,NO
7.8,YES
5.4,NO
6.7,YES
0.2,NO
5.9,NO
1.0,NO
1.7,YES
0.5,YES
0.1,NO
6.9,NO
4.4,NO
0.0,NO
7.4,YES
7.5,NO
5.4,NO
7.3,YES
2.9,NO
1.6,NO
4.6,NO
6.5,YES
0.6,NO
5.7,NO
3.4,YES
0.7,NO
4.7,NO
7.4,YES
3.1,NO
3.9,NO
1.4,NO
5.5,NO
2.8,NO
1.3,NO
3.9,NO
1.6,NO
6.4,YES
5.0,NO
4.9,NO
3.0,NO
7.2,YES
7.6,NO
1.9,NO
6.6,YES
5.8,YES
5.7,NO
7.5,YES
1.8,NO
1.7,YES
3.6,NO
